V1,id,question,treatment,property,abs_value_diff,value_diff,Index,Property,question_treatment,question_control,population_density,walk_score,median_household_income,median_age,race,median_rooms_rounded,bedrooms,bathrooms,sq_ft,year_built,housing_density,median_male_age,pct_white,school_districts,pct_lt_hs_grad,median_rooms,pct_hs_grad,pct_at_least_col_grad,GEOID,state,tract,NAME,ALAND,ALAND_SQMI,county,Pair_ID,INTPTLAT,INTPTLONG,iframe,Racial majority detail,white_value_diff,is_white,street_view_person
59,5,10n,0,Property 2,7000,-7000,6441,Property 2,p10s-1,p10n-1,4663.489736,11.16666666,137266,45.6,white,7,5,2,3303,1991,1537.390029,45.3,0.7489388461,"['Capistrano Unified School District', 'Saddleback Valley Unified School District']",0.03835196143,7.2,0.08459346921,0.6046460662,6059032038,6,32038,"Census Tract 320.38, Orange County, California",3532420,1.364,59,10,33.5941166,-117.6450407,"<iframe width=""""100%"""" height=""""401"""" frameborder=""""0""""   src=""""https://observablehq.com/embed/23df24c871b4a2c7?cells=test""""></iframe>",white alone,7000,1,0
61,6,10n,0,Property 2,10000,-10000,6441,Property 2,p10s-1,p10n-1,4663.489736,11.16666666,137266,45.6,white,7,5,2,3303,1991,1537.390029,45.3,0.7489388461,"['Capistrano Unified School District', 'Saddleback Valley Unified School District']",0.03835196143,7.2,0.08459346921,0.6046460662,6059032038,6,32038,"Census Tract 320.38, Orange County, California",3532420,1.364,59,10,33.5941166,-117.6450407,"<iframe width=""""100%"""" height=""""401"""" frameborder=""""0""""   src=""""https://observablehq.com/embed/23df24c871b4a2c7?cells=test""""></iframe>",white alone,10000,1,0
63,7,10n,0,Property 2,40000,-40000,6441,Property 2,p10s-1,p10n-1,4663.489736,11.16666666,137266,45.6,white,7,5,2,3303,1991,1537.390029,45.3,0.7489388461,"['Capistrano Unified School District', 'Saddleback Valley Unified School District']",0.03835196143,7.2,0.08459346921,0.6046460662,6059032038,6,32038,"Census Tract 320.38, Orange County, California",3532420,1.364,59,10,33.5941166,-117.6450407,"<iframe width=""""100%"""" height=""""401"""" frameborder=""""0""""   src=""""https://observablehq.com/embed/23df24c871b4a2c7?cells=test""""></iframe>",white alone,40000,1,0
65,10,10n,0,Property 2,85000,-85000,6441,Property 2,p10s-1,p10n-1,4663.489736,11.16666666,137266,45.6,white,7,5,2,3303,1991,1537.390029,45.3,0.7489388461,"['Capistrano Unified School District', 'Saddleback Valley Unified School District']",0.03835196143,7.2,0.08459346921,0.6046460662,6059032038,6,32038,"Census Tract 320.38, Orange County, California",3532420,1.364,59,10,33.5941166,-117.6450407,"<iframe width=""""100%"""" height=""""401"""" frameborder=""""0""""   src=""""https://observablehq.com/embed/23df24c871b4a2c7?cells=test""""></iframe>",white alone,85000,1,0
66,12,10n,0,Property 1,2500,2500,6325,Property 1,p10s-1,p10n-1,3665.661136,11.625,133993,45.4,asian,6,5,2,3312,1990,1261.437908,46.2,0.2269921821,"['Buena Park Elementary School District', 'Fullerton Elementary School District', 'Fullerton Joint Union High School District', 'La Habra City Elementary School District', 'Lowell Joint Elementary School District']",0.03105482304,6.4,0.07234559334,0.6580499653,6059001707,6,1707,"Census Tract 17.07, Orange County, California",5152163,1.989,59,10,33.9046917,-117.9681615,"<iframe width=""""100%"""" height=""""401"""" frameborder=""""0""""   src=""""https://observablehq.com/embed/27c1825374db1b32?cells=test""""></iframe>",asian,-2500,0,0
69,13,10n,0,Property 2,25000,-25000,6441,Property 2,p10s-1,p10n-1,4663.489736,11.16666666,137266,45.6,white,7,5,2,3303,1991,1537.390029,45.3,0.7489388461,"['Capistrano Unified School District', 'Saddleback Valley Unified School District']",0.03835196143,7.2,0.08459346921,0.6046460662,6059032038,6,32038,"Census Tract 320.38, Orange County, California",3532420,1.364,59,10,33.5941166,-117.6450407,"<iframe width=""""100%"""" height=""""401"""" frameborder=""""0""""   src=""""https://observablehq.com/embed/23df24c871b4a2c7?cells=test""""></iframe>",white alone,25000,1,0
70,15,10n,0,Property 1,5000,5000,6325,Property 1,p10s-1,p10n-1,3665.661136,11.625,133993,45.4,asian,6,5,2,3312,1990,1261.437908,46.2,0.2269921821,"['Buena Park Elementary School District', 'Fullerton Elementary School District', 'Fullerton Joint Union High School District', 'La Habra City Elementary School District', 'Lowell Joint Elementary School District']",0.03105482304,6.4,0.07234559334,0.6580499653,6059001707,6,1707,"Census Tract 17.07, Orange County, California",5152163,1.989,59,10,33.9046917,-117.9681615,"<iframe width=""""100%"""" height=""""401"""" frameborder=""""0""""   src=""""https://observablehq.com/embed/27c1825374db1b32?cells=test""""></iframe>",asian,-5000,0,0
73,18,10n,0,Property 2,3000,-3000,6441,Property 2,p10s-1,p10n-1,4663.489736,11.16666666,137266,45.6,white,7,5,2,3303,1991,1537.390029,45.3,0.7489388461,"['Capistrano Unified School District', 'Saddleback Valley Unified School District']",0.03835196143,7.2,0.08459346921,0.6046460662,6059032038,6,32038,"Census Tract 320.38, Orange County, California",3532420,1.364,59,10,33.5941166,-117.6450407,"<iframe width=""""100%"""" height=""""401"""" frameborder=""""0""""   src=""""https://observablehq.com/embed/23df24c871b4a2c7?cells=test""""></iframe>",white alone,3000,1,0
75,19,10n,0,Property 2,3000,-3000,6441,Property 2,p10s-1,p10n-1,4663.489736,11.16666666,137266,45.6,white,7,5,2,3303,1991,1537.390029,45.3,0.7489388461,"['Capistrano Unified School District', 'Saddleback Valley Unified School District']",0.03835196143,7.2,0.08459346921,0.6046460662,6059032038,6,32038,"Census Tract 320.38, Orange County, California",3532420,1.364,59,10,33.5941166,-117.6450407,"<iframe width=""""100%"""" height=""""401"""" frameborder=""""0""""   src=""""https://observablehq.com/embed/23df24c871b4a2c7?cells=test""""></iframe>",white alone,3000,1,0
76,21,10n,0,Property 1,7000,7000,6325,Property 1,p10s-1,p10n-1,3665.661136,11.625,133993,45.4,asian,6,5,2,3312,1990,1261.437908,46.2,0.2269921821,"['Buena Park Elementary School District', 'Fullerton Elementary School District', 'Fullerton Joint Union High School District', 'La Habra City Elementary School District', 'Lowell Joint Elementary School District']",0.03105482304,6.4,0.07234559334,0.6580499653,6059001707,6,1707,"Census Tract 17.07, Orange County, California",5152163,1.989,59,10,33.9046917,-117.9681615,"<iframe width=""""100%"""" height=""""401"""" frameborder=""""0""""   src=""""https://observablehq.com/embed/27c1825374db1b32?cells=test""""></iframe>",asian,-7000,0,0
79,23,10n,0,Property 2,20000,-20000,6441,Property 2,p10s-1,p10n-1,4663.489736,11.16666666,137266,45.6,white,7,5,2,3303,1991,1537.390029,45.3,0.7489388461,"['Capistrano Unified School District', 'Saddleback Valley Unified School District']",0.03835196143,7.2,0.08459346921,0.6046460662,6059032038,6,32038,"Census Tract 320.38, Orange County, California",3532420,1.364,59,10,33.5941166,-117.6450407,"<iframe width=""""100%"""" height=""""401"""" frameborder=""""0""""   src=""""https://observablehq.com/embed/23df24c871b4a2c7?cells=test""""></iframe>",white alone,20000,1,0
80,24,10n,0,Property 1,2000,2000,6325,Property 1,p10s-1,p10n-1,3665.661136,11.625,133993,45.4,asian,6,5,2,3312,1990,1261.437908,46.2,0.2269921821,"['Buena Park Elementary School District', 'Fullerton Elementary School District', 'Fullerton Joint Union High School District', 'La Habra City Elementary School District', 'Lowell Joint Elementary School District']",0.03105482304,6.4,0.07234559334,0.6580499653,6059001707,6,1707,"Census Tract 17.07, Orange County, California",5152163,1.989,59,10,33.9046917,-117.9681615,"<iframe width=""""100%"""" height=""""401"""" frameborder=""""0""""   src=""""https://observablehq.com/embed/27c1825374db1b32?cells=test""""></iframe>",asian,-2000,0,0
82,25,10n,0,Property 1,8000,8000,6325,Property 1,p10s-1,p10n-1,3665.661136,11.625,133993,45.4,asian,6,5,2,3312,1990,1261.437908,46.2,0.2269921821,"['Buena Park Elementary School District', 'Fullerton Elementary School District', 'Fullerton Joint Union High School District', 'La Habra City Elementary School District', 'Lowell Joint Elementary School District']",0.03105482304,6.4,0.07234559334,0.6580499653,6059001707,6,1707,"Census Tract 17.07, Orange County, California",5152163,1.989,59,10,33.9046917,-117.9681615,"<iframe width=""""100%"""" height=""""401"""" frameborder=""""0""""   src=""""https://observablehq.com/embed/27c1825374db1b32?cells=test""""></iframe>",asian,-8000,0,0
84,26,10n,0,Property 1,25200,25200,6325,Property 1,p10s-1,p10n-1,3665.661136,11.625,133993,45.4,asian,6,5,2,3312,1990,1261.437908,46.2,0.2269921821,"['Buena Park Elementary School District', 'Fullerton Elementary School District', 'Fullerton Joint Union High School District', 'La Habra City Elementary School District', 'Lowell Joint Elementary School District']",0.03105482304,6.4,0.07234559334,0.6580499653,6059001707,6,1707,"Census Tract 17.07, Orange County, California",5152163,1.989,59,10,33.9046917,-117.9681615,"<iframe width=""""100%"""" height=""""401"""" frameborder=""""0""""   src=""""https://observablehq.com/embed/27c1825374db1b32?cells=test""""></iframe>",asian,-25200,0,0
86,34,10n,0,Property 1,10000,10000,6325,Property 1,p10s-1,p10n-1,3665.661136,11.625,133993,45.4,asian,6,5,2,3312,1990,1261.437908,46.2,0.2269921821,"['Buena Park Elementary School District', 'Fullerton Elementary School District', 'Fullerton Joint Union High School District', 'La Habra City Elementary School District', 'Lowell Joint Elementary School District']",0.03105482304,6.4,0.07234559334,0.6580499653,6059001707,6,1707,"Census Tract 17.07, Orange County, California",5152163,1.989,59,10,33.9046917,-117.9681615,"<iframe width=""""100%"""" height=""""401"""" frameborder=""""0""""   src=""""https://observablehq.com/embed/27c1825374db1b32?cells=test""""></iframe>",asian,-10000,0,0
89,35,10n,0,Property 2,10000,-10000,6441,Property 2,p10s-1,p10n-1,4663.489736,11.16666666,137266,45.6,white,7,5,2,3303,1991,1537.390029,45.3,0.7489388461,"['Capistrano Unified School District', 'Saddleback Valley Unified School District']",0.03835196143,7.2,0.08459346921,0.6046460662,6059032038,6,32038,"Census Tract 320.38, Orange County, California",3532420,1.364,59,10,33.5941166,-117.6450407,"<iframe width=""""100%"""" height=""""401"""" frameborder=""""0""""   src=""""https://observablehq.com/embed/23df24c871b4a2c7?cells=test""""></iframe>",white alone,10000,1,0
91,36,10n,0,Property 2,10000,-10000,6441,Property 2,p10s-1,p10n-1,4663.489736,11.16666666,137266,45.6,white,7,5,2,3303,1991,1537.390029,45.3,0.7489388461,"['Capistrano Unified School District', 'Saddleback Valley Unified School District']",0.03835196143,7.2,0.08459346921,0.6046460662,6059032038,6,32038,"Census Tract 320.38, Orange County, California",3532420,1.364,59,10,33.5941166,-117.6450407,"<iframe width=""""100%"""" height=""""401"""" frameborder=""""0""""   src=""""https://observablehq.com/embed/23df24c871b4a2c7?cells=test""""></iframe>",white alone,10000,1,0
93,41,10n,0,Property 2,800,-800,6441,Property 2,p10s-1,p10n-1,4663.489736,11.16666666,137266,45.6,white,7,5,2,3303,1991,1537.390029,45.3,0.7489388461,"['Capistrano Unified School District', 'Saddleback Valley Unified School District']",0.03835196143,7.2,0.08459346921,0.6046460662,6059032038,6,32038,"Census Tract 320.38, Orange County, California",3532420,1.364,59,10,33.5941166,-117.6450407,"<iframe width=""""100%"""" height=""""401"""" frameborder=""""0""""   src=""""https://observablehq.com/embed/23df24c871b4a2c7?cells=test""""></iframe>",white alone,800,1,0
95,42,10n,0,Property 2,5000,-5000,6441,Property 2,p10s-1,p10n-1,4663.489736,11.16666666,137266,45.6,white,7,5,2,3303,1991,1537.390029,45.3,0.7489388461,"['Capistrano Unified School District', 'Saddleback Valley Unified School District']",0.03835196143,7.2,0.08459346921,0.6046460662,6059032038,6,32038,"Census Tract 320.38, Orange County, California",3532420,1.364,59,10,33.5941166,-117.6450407,"<iframe width=""""100%"""" height=""""401"""" frameborder=""""0""""   src=""""https://observablehq.com/embed/23df24c871b4a2c7?cells=test""""></iframe>",white alone,5000,1,0
96,43,10n,0,Property 1,11000,11000,6325,Property 1,p10s-1,p10n-1,3665.661136,11.625,133993,45.4,asian,6,5,2,3312,1990,1261.437908,46.2,0.2269921821,"['Buena Park Elementary School District', 'Fullerton Elementary School District', 'Fullerton Joint Union High School District', 'La Habra City Elementary School District', 'Lowell Joint Elementary School District']",0.03105482304,6.4,0.07234559334,0.6580499653,6059001707,6,1707,"Census Tract 17.07, Orange County, California",5152163,1.989,59,10,33.9046917,-117.9681615,"<iframe width=""""100%"""" height=""""401"""" frameborder=""""0""""   src=""""https://observablehq.com/embed/27c1825374db1b32?cells=test""""></iframe>",asian,-11000,0,0
99,45,10n,0,Property 2,7000,-7000,6441,Property 2,p10s-1,p10n-1,4663.489736,11.16666666,137266,45.6,white,7,5,2,3303,1991,1537.390029,45.3,0.7489388461,"['Capistrano Unified School District', 'Saddleback Valley Unified School District']",0.03835196143,7.2,0.08459346921,0.6046460662,6059032038,6,32038,"Census Tract 320.38, Orange County, California",3532420,1.364,59,10,33.5941166,-117.6450407,"<iframe width=""""100%"""" height=""""401"""" frameborder=""""0""""   src=""""https://observablehq.com/embed/23df24c871b4a2c7?cells=test""""></iframe>",white alone,7000,1,0
101,47,10n,0,Property 2,5000,-5000,6441,Property 2,p10s-1,p10n-1,4663.489736,11.16666666,137266,45.6,white,7,5,2,3303,1991,1537.390029,45.3,0.7489388461,"['Capistrano Unified School District', 'Saddleback Valley Unified School District']",0.03835196143,7.2,0.08459346921,0.6046460662,6059032038,6,32038,"Census Tract 320.38, Orange County, California",3532420,1.364,59,10,33.5941166,-117.6450407,"<iframe width=""""100%"""" height=""""401"""" frameborder=""""0""""   src=""""https://observablehq.com/embed/23df24c871b4a2c7?cells=test""""></iframe>",white alone,5000,1,0
103,48,10n,0,Property 2,5000,-5000,6441,Property 2,p10s-1,p10n-1,4663.489736,11.16666666,137266,45.6,white,7,5,2,3303,1991,1537.390029,45.3,0.7489388461,"['Capistrano Unified School District', 'Saddleback Valley Unified School District']",0.03835196143,7.2,0.08459346921,0.6046460662,6059032038,6,32038,"Census Tract 320.38, Orange County, California",3532420,1.364,59,10,33.5941166,-117.6450407,"<iframe width=""""100%"""" height=""""401"""" frameborder=""""0""""   src=""""https://observablehq.com/embed/23df24c871b4a2c7?cells=test""""></iframe>",white alone,5000,1,0
105,49,10n,0,Property 2,8000,-8000,6441,Property 2,p10s-1,p10n-1,4663.489736,11.16666666,137266,45.6,white,7,5,2,3303,1991,1537.390029,45.3,0.7489388461,"['Capistrano Unified School District', 'Saddleback Valley Unified School District']",0.03835196143,7.2,0.08459346921,0.6046460662,6059032038,6,32038,"Census Tract 320.38, Orange County, California",3532420,1.364,59,10,33.5941166,-117.6450407,"<iframe width=""""100%"""" height=""""401"""" frameborder=""""0""""   src=""""https://observablehq.com/embed/23df24c871b4a2c7?cells=test""""></iframe>",white alone,8000,1,0
107,51,10n,0,Property 2,1000,-1000,6441,Property 2,p10s-1,p10n-1,4663.489736,11.16666666,137266,45.6,white,7,5,2,3303,1991,1537.390029,45.3,0.7489388461,"['Capistrano Unified School District', 'Saddleback Valley Unified School District']",0.03835196143,7.2,0.08459346921,0.6046460662,6059032038,6,32038,"Census Tract 320.38, Orange County, California",3532420,1.364,59,10,33.5941166,-117.6450407,"<iframe width=""""100%"""" height=""""401"""" frameborder=""""0""""   src=""""https://observablehq.com/embed/23df24c871b4a2c7?cells=test""""></iframe>",white alone,1000,1,0
