Unnamed: 0,population_density,housing_density,median_age,median_male_age,pct_white,median_income,school_districts,pct_lt_hs_grad,median_rooms,pct_hs_grad,pct_at_least_col_grad,GEOID,state,tract,NAME,NatWalkInd,ALAND,ALAND_SQMI,county,Pair_ID,INTPTLAT,INTPTLONG
13156,2106.103023516237,766.7973124300112,36.9,35.4,0.0963711285391466,55744,['Duval County School District'],0.0423332032774092,5.5,0.2660944206008583,0.2493172063987514,12031010304,12,10304,"Census Tract 103.04, Duval County, Florida",10.777777777666666,9252095,3.572,31,15.0,30.4428198,-81.6561549
13093,3121.942039894618,1247.2713586751977,37.0,35.5,0.706088004822182,53307,['Duval County School District'],0.09665991902834,5.2,0.2741228070175439,0.3625168690958165,12031016722,12,16722,"Census Tract 167.22, Duval County, Florida",11.055555555666666,6881790,2.657,31,15.0,30.195021,-81.603842
17059,2300.6503251625813,801.400700350175,43.3,43.1,0.5642530984996739,122857,['Fulton County School District'],0.02922286448298,7.8,0.081888246628131,0.7675016056518946,13121011618,13,11618,"Census Tract 116.18, Fulton County, Georgia",8.166666667,5178115,1.999,121,16.0,34.056505,-84.2649627
17064,3553.9466212379334,1240.772288472459,42.8,42.4,0.4702404729567788,121389,['Fulton County School District'],0.0430561900411146,7.1,0.0725216994061215,0.6995203289173139,13121011623,13,11623,"Census Tract 116.23, Fulton County, Georgia",8.333333333499999,9120721,3.522,121,16.0,34.022421,-84.1803637
18349,7333.333333333333,2892.215568862276,39.3,37.4,0.8410451823625477,61342,"['Community High School District 218', 'Oak Lawn-Hometown School District 123']",0.0961098398169336,5.4,0.2585812356979405,0.2974828375286041,17031822702,17,822702,"Census Tract 8227.02, Cook County, Illinois",16.777777776666667,1298804,0.501,31,17.0,41.7056906,-87.7305797
18700,7583.072100313479,2605.015673981191,38.9,37.3,0.3009508061182306,61806,['Chicago Public School District 299'],0.2966292134831461,5.3,0.247752808988764,0.2719101123595505,17031840200,17,840200,"Census Tract 8402, Cook County, Illinois",17.16666667,826355,0.319,31,17.0,41.8446476,-87.6492096
21127,2223.032629558541,1034.932821497121,34.7,30.4,0.6040407528924193,41504,['Washington Township Metropolitan School District'],0.100416360519226,3.8,0.2605927014450159,0.4244428116580945,18097320204,18,320204,"Census Tract 3202.04, Marion County, Indiana",13.111111111,6747572,2.605,97,18.0,39.9184128,-86.1092043
21134,1942.8129829984543,799.0726429675425,35.0,31.0,0.1400159108989657,38750,['Indianapolis Public Schools'],0.1584385763490241,5.5,0.2709529276693456,0.2101033295063145,18097350100,18,350100,"Census Tract 3501, Marion County, Indiana",12.666666665,1676841,0.647,97,18.0,39.8119122,-86.1908337
24272,11808.917197452229,4073.248407643312,25.4,22.2,0.3594929881337648,21596,['Springfield School District'],0.3372278279341476,4.3,0.3170472650026553,0.0748805098247477,25013801901,25,801901,"Census Tract 8019.01, Hampden County, Massachusetts",14.58333333,812271,0.314,13,19.0,42.0950982,-72.5714194
24308,12707.395498392283,4003.2154340836014,25.3,22.1,0.826163967611336,22807,['Holyoke School District'],0.4028197381671702,4.4,0.3066465256797583,0.1112789526686807,25013811600,25,811600,"Census Tract 8116, Hampden County, Massachusetts",14.708333335,804837,0.311,13,19.0,42.2012209,-72.6139674
43202,7362.694300518135,2670.984455958549,35.8,36.4,0.2125263898662913,57206,['Southeast Delco School District'],0.0775973188966228,6.2,0.3944315545243619,0.1925754060324826,42045402800,42,402800,"Census Tract 4028, Delaware County, Pennsylvania",15.600000002000002,1998625,0.772,45,20.0,39.9074332,-75.2677873
43312,7005.263157894737,2976.315789473684,36.7,36.1,0.7302779864763336,53262,['Southeast Delco School District'],0.076488706365503,6.0,0.4060574948665297,0.1765913757700205,42045403002,42,403002,"Census Tract 4030.02, Delaware County, Pennsylvania",15.5,983090,0.38,45,20.0,39.9115332,-75.2929394
47642,7397.419354838709,2358.709677419354,27.2,23.9,0.5639281353567068,37566,['Dallas Independent School District'],0.4421746293245469,4.3,0.3172981878088962,0.0336079077429983,48113010804,48,10804,"Census Tract 108.04, Dallas County, Texas",13.0833333315,2007940,0.775,113,21.0,32.7132637,-96.8626793
48125,6458.039215686275,2386.666666666667,27.2,24.5,0.1708768520767549,33210,"['Dallas Independent School District', 'Duncanville Independent School District']",0.1810363362717695,4.3,0.3057407009245323,0.176306170715975,48113010902,48,10902,"Census Tract 109.02, Dallas County, Texas",12.833333333333334,3302064,1.275,113,21.0,32.6584367,-96.8638137
48820,5778.532608695652,1721.4673913043478,33.4,33.9,0.8706795203385845,36530,['Houston Independent School District'],0.518881626724764,5.2,0.256717501815541,0.0453885257806826,48201220400,48,220400,"Census Tract 2204, Harris County, Texas",12.72222222,1905169,0.736,201,22.0,29.831578,-95.3663222
49441,5408.07799442897,1909.4707520891368,32.7,33.7,0.4712850888488282,38972,"['Aldine Independent School District', 'Houston Independent School District']",0.5041288191577209,4.3,0.2555739058629232,0.1358381502890173,48201532200,48,532200,"Census Tract 5322, Harris County, Texas",12.83333333,1860154,0.718,201,22.0,29.8569939,-95.4844214
49400,3036.332179930796,851.2110726643599,29.3,29.7,0.8022792022792022,39891,"['Aldine Independent School District', 'Houston Independent School District']",0.4170854271356783,5.1,0.3618090452261306,0.0773869346733668,48201220900,48,220900,"Census Tract 2209, Harris County, Texas",14.33333333,1497348,0.578,201,23.0,29.8488405,-95.3376376
48812,3591.567852437417,1063.2411067193675,29.2,30.5,0.3121790168745414,36250,"['Cypress-Fairbanks Independent School District', 'Houston Independent School District', 'Spring Branch Independent School District']",0.3753865182436611,4.1,0.3642547928262214,0.126777983920841,48201520601,48,520601,"Census Tract 5206.01, Harris County, Texas",14.66666667,1964841,0.759,201,23.0,29.8167961,-95.4926763
49236,9614.864864864863,2918.9189189189187,30.6,30.9,0.3345045678144764,46677,['Houston Independent School District'],0.2594174757281553,5.3,0.32,0.2333980582524271,48201433202,48,433202,"Census Tract 4332.02, Harris County, Texas",12.5,1150085,0.444,201,24.0,29.6968042,-95.5412482
48831,8540.760869565218,2766.304347826087,31.4,31.2,0.5832007636016545,44500,['Alief Independent School District'],0.2412488174077578,4.8,0.3093661305581835,0.1385998107852412,48201453401,48,453401,"Census Tract 4534.01, Harris County, Texas",12.916666665,953326,0.368,201,24.0,29.6545106,-95.5763143
50378,5292.984869325997,1796.423658872077,33.6,34.1,0.4433471933471933,69138,"['Arlington Independent School District', 'Mansfield Independent School District']",0.0891130727196301,5.6,0.2282471626733921,0.23203026481715,48439111541,48,111541,"Census Tract 1115.41, Tarrant County, Texas",8.0,1883536,0.727,439,25.0,32.6517824,-97.1085625
50298,4421.551724137931,1378.448275862069,34.5,34.7,0.7052056931175668,72361,"['Arlington Independent School District', 'Kennedale Independent School District']",0.0606242496998799,6.0,0.2223889555822329,0.3238295318127251,48439121611,48,121611,"Census Tract 1216.11, Tarrant County, Texas",7.541666667499999,3003370,1.16,439,25.0,32.6758812,-97.2110189
